,Long position,Short position,Gross risk,Net risk,Daily performance,YTD performance,Vol,Sharpe Ratio
8月25日2021年,42%,-56%,98%,-13%,177.01%,3029240.07%,56%,"54,109.9"
8月26日2021年,54%,-37%,91%,17%,-85.84%,3029154.23%,62%,"48,615.9"
8月27日2021年,55%,-31%,85%,24%,632.27%,3029786.50%,177%,"17,077.3"
8月30日2021年,54%,-34%,88%,19%,-103.93%,3029682.57%,182%,"16,606.7"
8月31日2021年,51%,-37%,88%,14%,-2580.73%,3027101.84%,726%,"4,169.2"
9月1日2021年,48%,-50%,98%,-2%,-125.37%,3026976.47%,724%,"4,178.3"
9月2日2021年,44%,-44%,88%,0%,-497.09%,3026479.38%,729%,"4,150.4"
9月3日2021年,20%,-73%,93%,-53%,-126.78%,3026352.60%,726%,"4,166.2"
9月6日2021年,50%,-42%,92%,8%,-479.72%,3025872.88%,728%,"4,155.3"
9月7日2021年,23%,-67%,89%,-44%,-73.94%,3025798.94%,727%,"4,160.7"
9月8日2021年,29%,-59%,88%,-29%,293.48%,3026092.42%,738%,"4,100.5"
9月9日2021年,68%,-22%,90%,46%,-33.02%,3026059.40%,737%,"4,105.6"
9月10日2021年,41%,-58%,99%,-17%,67.54%,3026126.94%,738%,"4,101.4"
9月13日2021年,49%,-49%,97%,-0%,-83.22%,3026043.71%,738%,"4,102.9"
9月14日2021年,53%,-43%,96%,10%,555.87%,3026599.58%,760%,"3,984.1"
9月15日2021年,43%,-47%,90%,-4%,-85.92%,3026513.66%,760%,"3,984.0"
9月16日2021年,46%,-54%,100%,-9%,581.19%,3027094.86%,756%,"4,006.6"
9月17日2021年,58%,-42%,100%,16%,-81.77%,3027013.09%,756%,"4,005.3"
9月20日2021年,48%,-52%,100%,-4%,479.10%,3027492.19%,339%,"8,934.5"
9月21日2021年,37%,-54%,91%,-18%,-93.64%,3027398.55%,338%,"8,960.6"
9月22日2021年,63%,-30%,93%,33%,1459.59%,3028858.14%,478%,"6,330.7"
9月23日2021年,17%,-67%,84%,-49%,-72.22%,3028785.92%,476%,"6,362.3"
9月24日2021年,63%,-31%,94%,32%,257.57%,3029043.48%,437%,"6,925.0"
