Start Date,1/1/00,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,USDKRW Curncy,,,,,,USDJPY Curncy,,,,,,USDCNY Curncy,,,,,,USDEUR Curncy,,,,,
,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day,Last Trade/Last Price,Volume,RSI 14 Day,RSI 30 Day,RSI 9 Day,RSI 3 Day
Dates,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D,LAST_PRICE,PX_VOLUME,RSI_14D,RSI_30D,RSI_9D,RSI_3D
3月3日2000年,1124.43,#N/A N/A,44.15,43.86,41.62,38.02,107.9,#N/A N/A,46.02,51.34,40.31,32.38,8.2789,#N/A N/A,59.6568,53.6146,67.9364,95.69,1.0432,#N/A N/A,64.9262,62.0941,68.1135,79.7558
3月6日2000年,1123.43,#N/A N/A,43.24,43.46,40.29,34.54,107.54,#N/A N/A,44.3,50.37,38.08,26.62,8.2785,#N/A N/A,52.0106,50.2946,54.0906,38.991,1.0432,#N/A N/A,64.9262,62.0941,68.1135,79.7558
3月7日2000年,1122.93,#N/A N/A,42.76,43.25,39.58,32.32,106.12,#N/A N/A,38.23,46.76,30.56,12.97,8.2784,#N/A N/A,50.2757,49.5018,51.1582,31.9024,1.0434,#N/A N/A,65.0098,62.1383,68.234,80.1305
3月8日2000年,1123.43,#N/A N/A,43.43,43.53,40.75,38.27,107.17,#N/A N/A,44.31,49.53,40.35,44.52,8.2786,#N/A N/A,53.6087,51.0966,56.4682,55.9354,1.0406,#N/A N/A,62.7544,61.1047,64.3985,57.7002
3月9日2000年,1124.93,#N/A N/A,45.51,44.36,44.41,55.78,106.53,#N/A N/A,41.62,47.96,36.8,33.44,8.2787,#N/A N/A,55.2247,51.8826,58.9769,65.1578,1.0342,#N/A N/A,57.8169,58.7924,56.2657,29.4429
3月10日2000年,1123.43,#N/A N/A,43.78,43.69,41.53,39.13,106.35,#N/A N/A,40.87,47.52,35.8,30.26,8.2785,#N/A N/A,51.3704,50.2129,52.2074,40.0262,1.0377,#N/A N/A,59.685,59.6561,59.4187,49.6642
3月13日2000年,1123.93,#N/A N/A,44.53,43.99,42.91,47.03,105.52,#N/A N/A,37.51,45.53,31.38,18.26,8.2781,#N/A N/A,44.6574,47.0781,41.4917,18.5555,1.0371,#N/A N/A,59.201,59.4351,58.6039,46.2554
3月14日2000年,1123.03,#N/A N/A,43.4,43.57,40.95,34.83,105.12,#N/A N/A,35.98,44.6,29.41,14.19,8.278,#N/A N/A,43.1396,46.33,39.2272,15.448,1.0324,#N/A N/A,55.4103,57.7035,52.2852,25.6051
3月15日2000年,1122.93,#N/A N/A,43.27,43.52,40.71,33.38,105.69,#N/A N/A,39.76,46.22,35.86,41.87,8.2778,#N/A N/A,40.197,44.8555,34.937,10.2822,1.0342,#N/A N/A,56.5575,58.1861,54.4034,40.7904
3月16日2000年,1117.5,#N/A N/A,36.76,40.99,30.2,7.63,105.37,#N/A N/A,38.39,45.45,33.9,32.93,8.278,#N/A N/A,44.2894,46.6132,42.0652,40.2519,1.0314,#N/A N/A,54.2205,57.1369,50.4817,27.6306
3月17日2000年,1117.25,#N/A N/A,36.48,40.88,29.8,7.24,106.73,#N/A N/A,46.79,49.18,47.58,71.6,8.278,#N/A N/A,44.2894,46.6132,42.0652,40.2519,1.0287,#N/A N/A,51.9896,56.1274,46.8203,18.8394
3月20日2000年,1122.43,#N/A N/A,45.49,44.18,46.32,63.94,106.3,#N/A N/A,44.71,48.1,44.32,56.23,8.2786,#N/A N/A,55.0027,51.5694,59.085,81.6431,1.028,#N/A N/A,51.3991,55.8626,45.8503,16.765
3月21日2000年,1121.93,#N/A N/A,44.83,43.93,45.16,58.74,106.78,#N/A N/A,47.51,49.38,48.73,67.8,8.2783,#N/A N/A,49.8417,49.2066,50.7059,53.7277,1.04,#N/A N/A,59.8232,59.2695,61.3085,78.2754
3月22日2000年,1120.43,#N/A N/A,42.82,43.19,41.66,43.01,107.11,#N/A N/A,49.41,50.25,51.69,74.7,8.2783,#N/A N/A,49.8417,49.2066,50.7059,53.7277,1.0406,#N/A N/A,60.1947,59.4315,61.92,79.4163
3月23日2000年,1109.75,#N/A N/A,31.87,38.41,25.7,11.14,107.24,#N/A N/A,50.17,50.6,52.9,77.55,8.2787,#N/A N/A,56.1973,52.3235,60.2246,77.1581,1.0293,#N/A N/A,50.6883,55.1581,46.3873,31.9772
3月24日2000年,1117.93,#N/A N/A,43.74,43.38,44.14,52,106.87,#N/A N/A,47.95,49.58,48.98,52.4,8.2789,#N/A N/A,58.9951,53.7903,64.1217,83.4451,1.0226,#N/A N/A,46.0451,52.8282,39.7381,20.8828
3月27日2000年,1119.93,#N/A N/A,46.21,44.51,47.71,58.93,106.79,#N/A N/A,47.46,49.36,48.12,47.42,8.2792,#N/A N/A,62.8301,55.8957,69.212,89.7764,1.0339,#N/A N/A,53.7415,56.066,52.6233,57.8654
3月28日2000年,1119.93,#N/A N/A,46.21,44.51,47.71,58.93,105.84,#N/A N/A,41.99,46.79,38.92,17.59,8.2795,#N/A N/A,66.2313,57.8809,73.4498,93.5034,1.0411,#N/A N/A,57.8657,57.9677,58.9197,70.8765
3月29日2000年,1118.43,#N/A N/A,44.51,43.8,44.98,47.39,105.69,#N/A N/A,41.18,46.39,37.64,15.31,8.2789,#N/A N/A,55.3271,52.9498,56.0815,44.6609,1.0511,#N/A N/A,62.8233,60.4287,65.9834,82.2778
3月30日2000年,1117.43,#N/A N/A,43.37,43.33,43.13,39.63,105.57,#N/A N/A,40.51,46.07,36.56,13.25,8.2788,#N/A N/A,53.7391,52.1833,53.7006,39.5023,1.0403,#N/A N/A,55.2609,56.7185,54.5805,50.3475
3月31日2000年,1116.43,#N/A N/A,42.2,42.86,41.22,31.81,102.78,#N/A N/A,28.77,39.48,20.89,2.33,8.2787,#N/A N/A,52.1278,51.4134,51.2527,33.6689,1.0466,#N/A N/A,58.4062,58.2648,59.2069,62.934
4月3日2000年,1119.93,#N/A N/A,47.53,45.05,49.94,66.5,104.9,#N/A N/A,42.42,45.6,42.11,49.64,8.2786,#N/A N/A,50.4972,50.6404,48.7525,27.5633,1.0468,#N/A N/A,58.506,58.3137,59.3547,63.3761
4月4日2000年,1120.43,#N/A N/A,48.26,45.36,51.11,69.79,105.16,#N/A N/A,43.85,46.28,44.17,53.76,8.2791,#N/A N/A,57.6331,54.2017,59.7867,69.3073,1.0421,#N/A N/A,55.1588,56.6984,54.1644,44.6176
4月5日2000年,1120.93,#N/A N/A,49.03,45.68,52.36,73.67,104.88,#N/A N/A,42.63,45.64,42.34,47.49,8.2795,#N/A N/A,62.3134,56.7822,66.3144,81.8551,1.039,#N/A N/A,53.0048,55.6466,50.864,34.5113
